2012-04-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.31
2012-04-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32
2012-04-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32
2012-04-26,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.32
2012-04-27,0.00,0.01,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.33
2012-04-30,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32
2012-05-01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33
2012-05-02,0.01,0.01,0.00,0.00,0.01,0.01,1.00,0.00,1.00,1.31
2012-05-03,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.32
2012-05-04,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.32
2012-05-07,0.00,0.01,0.00,0.00,0.00,0.01,1.00,0.00,1.00,1.30
2012-05-08,0.00,0.01,0.00,0.00,0.00,0.01,1.00,0.00,1.00,1.30
