순번,신호종류,진입시간,청산시간,진입가격,청산가격,수익
0,매수진입,2012/04/03 14:30:00,2012/04/03 21:00:00,1.33440,1.33130,-0.00310
0,매도진입,2012/04/04 14:30:00,2012/04/04 21:00:00,1.32010,1.31510,0.00500
0,매수진입,2012/04/09 14:30:00,,1.30730,1.30860,0.00130
0,매수진입,2012/04/10 14:30:00,2012/04/10 19:30:00,1.31170,1.30760,-0.00410
0,매도진입,2012/04/11 14:30:00,2012/04/11 19:30:00,1.31050,1.31470,-0.00420
0,매도진입,2012/04/12 14:30:00,2012/04/12 18:00:00,1.31430,1.31240,0.00190
1,매수진입,2012/04/12 18:00:00,2012/04/12 21:00:00,1.31240,1.31680,0.00440
0,매도진입,2012/04/16 14:30:00,2012/04/16 21:00:00,1.30330,1.30300,0.00030
0,매수진입,2012/04/17 15:00:00,2012/04/17 21:00:00,1.31110,1.31360,0.00250
0,매수진입,2012/04/18 14:30:00,2012/04/18 20:00:00,1.31200,1.30800,-0.00400
0,매수진입,2012/04/19 14:30:00,2012/04/19 21:00:00,1.31200,1.30920,-0.00280
0,매수진입,2012/04/20 14:30:00,2012/04/20 21:00:00,1.31460,1.31940,0.00480
0,매수진입,2012/04/26 14:30:00,2012/04/26 21:00:00,1.32240,1.32180,-0.00060
0,매수진입,2012/04/27 14:30:00,2012/04/27 21:00:00,1.31900,1.32330,0.00430
0,매도진입,2012/05/02 14:30:00,2012/05/02 21:00:00,1.32270,1.31380,0.00890
0,매도진입,2012/05/07 14:30:00,2012/05/07 17:30:00,1.29810,1.30220,-0.00410
0,매도진입,2012/05/08 14:30:00,2012/05/08 21:00:00,1.30350,1.30370,-0.00020
0,매도진입,2012/05/11 18:30:00,2012/05/11 21:00:00,1.29410,1.29470,-0.00060
0,매도진입,2012/05/14 14:30:00,2012/05/14 21:00:00,1.28950,1.28660,0.00290
0,매도진입,2012/05/16 14:30:00,2012/05/16 21:00:00,1.27220,1.27300,-0.00080
0,매도진입,2012/05/17 14:30:00,2012/05/17 21:00:00,1.27410,1.26790,0.00620
0,매도진입,2012/05/18 14:30:00,2012/05/18 17:30:00,1.26570,1.26990,-0.00420
0,매수진입,2012/05/21 14:30:00,2012/05/21 21:00:00,1.27850,1.27650,-0.00200
0,매도진입,2012/05/24 14:30:00,2012/05/24 20:30:00,1.25760,1.25840,-0.00080
0,매도진입,2012/05/25 14:30:00,2012/05/25 17:00:00,1.25360,1.25830,-0.00470
0,매도진입,2012/05/29 14:30:00,2012/05/29 21:00:00,1.25420,1.25290,0.00130
0,매도진입,2012/05/30 14:30:00,2012/05/30 21:00:00,1.24660,1.24610,0.00050
0,매수진입,2012/06/04 14:30:00,2012/06/04 21:00:00,1.24090,1.24460,0.00370
0,매수진입,2012/06/05 14:30:00,2012/06/05 16:30:00,1.25190,1.24520,-0.00670
0,매도진입,2012/06/06 14:30:00,2012/06/06 21:00:00,1.24960,1.24940,0.00020
0,매도진입,2012/06/07 14:30:00,2012/06/07 21:00:00,1.25690,1.25900,-0.00210
0,매도진입,2012/06/08 14:30:00,2012/06/08 21:00:00,1.25240,1.24630,0.00610
0,매도진입,2012/06/11 14:30:00,2012/06/11 18:30:00,1.26420,1.26010,0.00410
0,매수진입,2012/06/13 14:30:00,2012/06/13 17:00:00,1.24960,1.25280,0.00320
1,매도진입,2012/06/13 17:00:00,2012/06/13 21:00:00,1.25280,1.25440,-0.00160
0,매수진입,2012/06/14 14:30:00,2012/06/14 18:00:00,1.25870,1.25530,-0.00340
0,매수진입,2012/06/15 14:30:00,2012/06/15 21:00:00,1.26480,1.26150,-0.00330
0,매수진입,2012/06/18 14:30:00,2012/06/18 17:30:00,1.27140,1.26450,-0.00690
0,매수진입,2012/06/19 14:30:00,2012/06/19 21:00:00,1.26160,1.26330,0.00170
0,매도진입,2012/06/21 15:00:00,2012/06/21 21:00:00,1.26910,1.26810,0.00100
0,매도진입,2012/06/25 14:30:00,2012/06/25 21:00:00,1.25400,1.24980,0.00420
0,매수진입,2012/06/27 14:30:00,2012/06/27 21:00:00,1.25120,1.25040,-0.00080
0,매도진입,2012/06/28 14:30:00,2012/06/28 16:00:00,1.25280,1.25120,0.00160
0,매도진입,2012/07/02 20:30:00,2012/07/02 21:00:00,1.26280,1.26170,0.00110
0,매도진입,2012/07/05 15:00:00,2012/07/05 17:30:00,1.25410,1.25330,0.00080
0,매도진입,2012/07/06 14:30:00,2012/07/06 21:00:00,1.23930,1.23900,0.00030
0,매도진입,2012/07/09 14:30:00,2012/07/09 19:00:00,1.23020,1.23010,0.00010
0,매도진입,2012/07/11 15:00:00,2012/07/11 21:00:00,1.22780,1.22750,0.00030
0,매도진입,2012/07/16 14:30:00,2012/07/16 21:00:00,1.22480,1.22020,0.00460
0,매도진입,2012/07/17 14:30:00,2012/07/17 15:00:00,1.22960,1.22930,0.00030
1,매수진입,2012/07/17 15:00:00,2012/07/17 21:00:00,1.22930,1.22940,0.00010
0,매도진입,2012/07/18 14:30:00,2012/07/18 21:00:00,1.22860,1.22480,0.00380
0,매수진입,2012/07/19 14:30:00,2012/07/19 21:00:00,1.22890,1.22960,0.00070
0,매수진입,2012/07/20 14:30:00,2012/07/20 21:00:00,1.22620,1.22010,-0.00610
0,매도진입,2012/07/23 14:30:00,2012/07/23 21:00:00,1.21240,1.21190,0.00050
0,매도진입,2012/07/24 14:30:00,2012/07/24 19:30:00,1.21300,1.21180,0.00120
1,매수진입,2012/07/24 20:00:00,2012/07/24 21:00:00,1.21180,1.21070,-0.00110
0,매도진입,2012/07/25 14:30:00,2012/07/25 17:30:00,1.20790,1.21200,-0.00410
0,매도진입,2012/07/26 14:30:00,2012/07/26 21:00:00,1.21530,1.22680,-0.01150
0,매도진입,2012/07/30 14:30:00,2012/07/30 21:00:00,1.23000,1.22600,0.00400
0,매도진입,2012/08/01 14:30:00,2012/08/01 15:00:00,1.23050,1.23240,-0.00190
1,매수진입,2012/08/01 15:00:00,2012/08/01 21:00:00,1.23240,1.23170,-0.00070
0,매수진입,2012/08/02 14:30:00,2012/08/02 21:00:00,1.22580,1.23020,0.00440
0,매수진입,2012/08/06 14:30:00,2012/08/06 21:00:00,1.23990,1.23890,-0.00100
0,매수진입,2012/08/07 14:30:00,2012/08/07 21:00:00,1.23930,1.24310,0.00380
0,매수진입,2012/08/08 14:30:00,2012/08/08 18:00:00,1.24000,1.23890,-0.00110
1,매도진입,2012/08/08 19:00:00,2012/08/08 21:00:00,1.23670,1.23560,0.00110
0,매도진입,2012/08/13 14:30:00,2012/08/13 20:00:00,1.22960,1.23420,-0.00460
0,매도진입,2012/08/15 14:30:00,2012/08/15 21:00:00,1.23280,1.22790,0.00490
0,매도진입,2012/08/20 14:30:00,2012/08/20 19:30:00,1.23340,1.23290,0.00050
0,매수진입,2012/08/21 14:30:00,2012/08/21 21:00:00,1.23600,1.24300,0.00700
0,매수진입,2012/08/27 14:30:00,2012/08/27 21:00:00,1.25110,1.25220,0.00110
0,매수진입,2012/08/28 14:30:00,2012/08/28 21:00:00,1.24890,1.25500,0.00610
0,매수진입,2012/08/29 18:00:00,2012/08/29 21:00:00,1.25610,1.25490,-0.00120
0,매도진입,2012/09/04 14:30:00,2012/09/04 15:00:00,1.26150,1.26150,0.00000
0,매수진입,2012/09/10 14:30:00,2012/09/10 21:00:00,1.27890,1.27780,-0.00110
0,매수진입,2012/09/11 14:30:00,2012/09/11 21:00:00,1.27670,1.27770,0.00100
0,매수진입,2012/09/13 14:30:00,2012/09/13 21:00:00,1.29240,1.29100,-0.00140
0,매수진입,2012/09/17 14:30:00,2012/09/17 19:30:00,1.31460,1.31240,-0.00220
0,매도진입,2012/09/18 19:00:00,2012/09/18 21:00:00,1.30710,1.30730,-0.00020
0,매도진입,2012/09/19 14:30:00,2012/09/19 21:00:00,1.30810,1.30170,0.00640
0,매도진입,2012/09/20 14:30:00,2012/09/20 21:00:00,1.30030,1.29650,0.00380
0,매수진입,2012/09/24 14:30:00,2012/09/24 18:00:00,1.29590,1.29160,-0.00430
0,매도진입,2012/10/01 14:30:00,2012/10/01 17:00:00,1.28380,1.28790,-0.00410
0,매도진입,2012/10/03 14:30:00,2012/10/03 15:00:00,1.29070,1.29100,-0.00030
1,매수진입,2012/10/03 15:00:00,2012/10/03 17:30:00,1.29100,1.29320,0.00220
0,매도진입,2012/10/10 14:30:00,2012/10/10 20:00:00,1.28590,1.28730,-0.00140
0,매수진입,2012/10/17 14:30:00,2012/10/17 21:00:00,1.31030,1.31250,0.00220
0,매수진입,2012/10/18 14:30:00,2012/10/18 20:00:00,1.31040,1.31150,0.00110
0,매도진입,2012/10/22 14:30:00,2012/10/22 19:30:00,1.30590,1.30710,-0.00120
0,매도진입,2012/10/29 14:30:00,2012/10/29 21:00:00,1.29340,1.28990,0.00350
0,매도진입,2012/11/01 18:00:00,2012/11/01 21:00:00,1.29490,1.29680,-0.00190
0,매도진입,2012/11/05 14:30:00,2012/11/05 21:00:00,1.28360,1.27920,0.00440
0,매도진입,2012/11/06 14:30:00,2012/11/06 16:30:00,1.27930,1.27780,0.00150
0,매도진입,2012/11/08 14:30:00,2012/11/08 20:30:00,1.27580,1.27500,0.00080
0,매도진입,2012/11/12 14:30:00,2012/11/12 18:30:00,1.27340,1.27190,0.00150
0,매도진입,2012/11/14 14:30:00,2012/11/14 21:00:00,1.27250,1.27450,-0.00200
0,매수진입,2012/11/15 15:00:00,2012/11/15 21:00:00,1.27480,1.27680,0.00200
0,매수진입,2012/11/19 14:30:00,2012/11/19 21:00:00,1.27650,1.27760,0.00110
